station_id,streetName,long,lat,tot_slots,mean_bikes,mean_free_slots,total_observations,times_total_empty,times_total_full,pct_empty,pct_full,category,severity
257,Sant Adrià,2.189614,41.433897,27,0.0,27.0,2833,2833,0,100.0,0.0,empty_problem,2
357,Cardener,2.1581,41.410538,27,0.0,27.0,2833,2833,0,100.0,0.0,empty_problem,2
39,Pl. Pau Vila,2.186576,41.381046,20,2.2,17.8,2833,2233,0,78.82,0.0,empty_problem,2
327,Reus,2.13453,41.405,24,2.5,21.5,2833,1906,1,67.28,0.04,empty_problem,2
222,Carrer del Canó,2.157483,41.40124,27,1.9,25.1,2833,1860,0,65.65,0.0,empty_problem,2
106,Pl. Joanic,2.162317,41.405587,21,1.3,19.7,2833,1808,5,63.82,0.18,empty_problem,2
229,Carrer de la Santacreu,2.156874,41.405107,30,2.9,27.1,2833,1770,0,62.48,0.0,empty_problem,2
219,Carre Laforja,2.147585,41.397812,27,2.4,24.6,2833,1508,0,53.23,0.0,empty_problem,2
328,Artesa de Segre,2.13427,41.40293,27,4.4,22.6,2833,1498,4,52.88,0.14,empty_problem,2
486,(PK) PG. DE GRÀCIA - DIAGONAL,2.159445,41.396934,12,2.3,9.7,2833,1448,0,51.11,0.0,empty_problem,2
92,Provença,2.160237,41.39386,18,2.9,15.1,2833,1426,30,50.34,1.06,empty_problem,2
228,Pl. Del Nord,2.155794,41.40694,21,3.2,17.8,2833,1405,0,49.59,0.0,empty_problem,2
293,Granollers,2.163101,41.428388,24,2.9,21.1,2833,1388,25,48.99,0.88,empty_problem,2
321,Carrer de Sant Hermenegild,2.144549,41.403054,27,2.3,24.7,2833,1329,0,46.91,0.0,empty_problem,2
333,Passatge de Senillosa,2.125106,41.395632,27,3.7,23.3,2833,1307,0,46.13,0.0,empty_problem,2
330,Doctor Carulla,2.130658,41.400587,27,4.6,22.4,2833,1295,12,45.71,0.42,empty_problem,2
356,Camèlies,2.163411,41.413425,27,5.4,21.6,2833,1290,15,45.53,0.53,empty_problem,2
216,Madrazo,2.144534,41.396809,27,2.6,24.4,2833,1259,0,44.44,0.0,empty_problem,2
214,José de Agulló,2.133541,41.395251,24,3.1,20.9,2833,1211,26,42.75,0.92,empty_problem,2
227,Torrent de Les Flors,2.158678,41.407837,27,3.0,24.0,2833,1210,0,42.71,0.0,empty_problem,2
217,Rector Ubach,2.143924,41.398463,27,4.5,22.5,2833,1205,3,42.53,0.11,empty_problem,2
230,C. De Nil Fabra,2.151633,41.405986,27,4.1,22.9,2833,1165,0,41.12,0.0,empty_problem,2
332,Doctor Roux,2.12809,41.399822,27,5.1,21.9,2833,1137,49,40.13,1.73,empty_problem,2
88,Londres,2.150764,41.393547,21,3.0,18.0,2833,1122,35,39.6,1.24,empty_problem,2
318,Cartagena,2.171331,41.413406,27,6.2,20.8,2833,1113,35,39.29,1.24,empty_problem,2
60,Rambla Catalunya,2.16424,41.390349,27,3.6,23.4,2833,1110,23,39.18,0.81,empty_problem,2
374,Passeig de Gràcia,2.16123,41.395,33,4.9,28.1,2833,1110,1,39.18,0.04,empty_problem,2
27,Provença,2.164415,41.396881,21,2.6,18.4,2833,1103,3,38.93,0.11,empty_problem,2
68,Rambla Catalunya,2.157356,41.395364,27,3.5,23.5,2833,1101,2,38.86,0.07,empty_problem,2
303,Cavallers,2.115076,41.393341,27,5.7,21.3,2833,1099,2,38.79,0.07,empty_problem,2
281,Escornalbou,2.176313,41.418088,24,3.7,20.3,2833,1098,0,38.76,0.0,empty_problem,2
107,Travessera de Gracia,2.153128,41.398298,21,2.4,18.6,2833,1071,12,37.8,0.42,empty_problem,2
207,Avda. Diagonal,2.136665,41.390828,21,4.7,16.3,2833,1036,29,36.57,1.02,empty_problem,2
215,Carrer de Ganduxer,2.138146,41.39412,21,2.6,18.4,2833,1034,4,36.5,0.14,empty_problem,2
72,Provença,2.158811,41.392716,27,3.3,23.7,2833,1029,1,36.32,0.04,empty_problem,2
66,Gran Via,2.167933,41.389097,15,4.2,10.8,2833,1007,416,35.55,14.68,empty_problem,2
337,Carme Karr,2.120422,41.398719,24,6.2,17.8,2833,990,23,34.95,0.81,empty_problem,2
73,Enric Granados,2.156183,41.392278,21,3.6,17.4,2833,985,13,34.77,0.46,empty_problem,2
221,Gran de Gràcia,2.152519,41.402535,27,4.4,22.6,2833,977,7,34.49,0.25,empty_problem,2
169,Avda. Litoral,2.200055,41.389896,27,6.8,20.2,2833,962,112,33.96,3.95,empty_problem,2
320,Vía Augusta,2.147989,41.401118,26,5.2,20.8,2833,952,0,33.6,0.0,empty_problem,2
287,Gran Via,2.168113,41.389171,15,4.4,10.6,2833,950,160,33.53,5.65,empty_problem,2
334,Via Augusta,2.123268,41.400722,27,8.1,18.9,2833,947,24,33.43,0.85,empty_problem,2
325,Alt de Gironella,2.130325,41.39493,24,3.2,20.8,2833,939,0,33.15,0.0,empty_problem,2
201,Numància,2.134341,41.387787,33,4.3,28.7,2833,935,4,33.0,0.14,empty_problem,2
292,Amilcar,2.171974,41.430036,27,5.3,21.7,2833,930,5,32.83,0.18,empty_problem,2
366,Pau Casals,2.14358,41.393037,27,3.8,23.2,2833,920,0,32.47,0.0,empty_problem,2
206,Avda. Diagonal,2.13284,41.389845,33,7.1,25.9,2833,918,17,32.4,0.6,empty_problem,2
