station_id,streetName,long,lat,tot_slots,mean_bikes,mean_free_slots,total_observations,times_total_empty,times_total_full,pct_empty,pct_full,category,severity
43,Av Meridiana,2.18712,41.40541,1,0.0,1.0,6723,6723,0,100.0,0.0,empty_problem,2
194,Joan Güell,2.132319,41.381013,25,0.0,25.0,6640,6640,0,100.0,0.0,empty_problem,2
256,Malats,2.189542,41.43608,24,0.0,24.0,8462,8462,0,100.0,0.0,empty_problem,2
257,Sant Adrià,2.189614,41.433897,27,0.0,27.0,6592,6592,0,100.0,0.0,empty_problem,2
290,Plaça dels Jardins d'Alfàbia,2.174047,41.437094,26,0.0,26.0,6584,6584,0,100.0,0.0,empty_problem,2
293,Granollers,2.163101,41.428388,24,0.0,24.0,6584,6584,0,100.0,0.0,empty_problem,2
341,Pl. Mossèn Joan Cortines,2.206166,41.433958,26,0.0,26.0,8450,8450,0,100.0,0.0,empty_problem,2
355,Carreras i Candi,2.12859,41.37211,26,0.0,26.0,6580,6580,0,100.0,0.0,empty_problem,2
357,Cardener,2.1581,41.410538,27,0.0,27.0,6580,6580,0,100.0,0.0,empty_problem,2
292,Amilcar,2.171974,41.430036,27,0.6,26.4,8575,7388,0,86.16,0.0,empty_problem,2
321,Carrer de Sant Hermenegild,2.144549,41.403054,27,0.7,26.3,8573,7084,0,82.63,0.0,empty_problem,2
281,Escornalbou,2.176313,41.418088,24,1.2,22.8,8576,7085,0,82.61,0.0,empty_problem,2
356,Camèlies,2.163411,41.413425,26,2.2,23.8,8571,7003,7,81.71,0.08,empty_problem,2
298,Andreu Nin,2.181747,41.43463,32,1.6,30.4,8322,6791,0,81.6,0.0,empty_problem,2
343,Campana de la Maquinista,2.199598,41.438886,27,2.7,24.3,8219,6695,181,81.46,2.2,empty_problem,2
297,Carrer Turó Blau,2.176822,41.438864,24,1.7,22.3,8509,6874,22,80.79,0.26,empty_problem,2
106,Pl. Joanic,2.162317,41.405587,21,1.1,19.9,8702,6985,10,80.27,0.11,empty_problem,2
294,Seu del Districte (Nou Barris),2.170678,41.436373,27,3.1,23.9,8465,6757,4,79.82,0.05,empty_problem,2
269,Via Barcino,2.192826,41.448128,26,4.9,21.1,8315,6593,0,79.29,0.0,empty_problem,2
285,Malats,2.186059,41.436708,24,4.0,20.0,8312,6589,282,79.27,3.39,empty_problem,2
258,Fernando Pessoa,2.193032,41.442167,27,3.2,23.8,8319,6592,0,79.24,0.0,empty_problem,2
271,Via Barcino,2.192335,41.450634,21,2.9,18.1,8326,6588,0,79.13,0.0,empty_problem,2
288,Pl. Virrei Amat,2.174487,41.429636,33,2.1,30.9,8575,6776,0,79.02,0.0,empty_problem,2
299,Carrer de l'Escultor Ordóñez,2.175199,41.433965,26,3.0,23.0,8520,6715,0,78.81,0.0,empty_problem,2
344,Ciutat d'Asunción,2.199538,41.443127,27,4.8,22.2,8318,6550,692,78.74,8.32,empty_problem,2
318,Cartagena,2.171331,41.413406,26,2.5,23.5,8573,6725,0,78.44,0.0,empty_problem,2
340,Sant Adrià,2.204573,41.43619,24,3.5,20.5,8528,6666,0,78.17,0.0,empty_problem,2
242,Ramon Albó,2.177284,41.424451,27,2.2,24.8,8590,6702,0,78.02,0.0,empty_problem,2
228,Pl. Del Nord,2.155794,41.40694,21,2.0,19.0,8600,6543,38,76.08,0.44,empty_problem,2
275,Rio de Janeiro,2.182225,41.430693,33,2.4,30.6,8578,6526,0,76.08,0.0,empty_problem,2
244,Felip II,2.178511,41.426896,27,3.4,23.6,8589,6489,0,75.55,0.0,empty_problem,2
246,Garcilaso,2.186637,41.422844,18,2.3,15.7,8588,6412,20,74.66,0.23,empty_problem,2
92,Provença,2.160237,41.39386,18,1.6,16.4,8713,6498,30,74.58,0.34,empty_problem,2
216,Madrazo,2.144534,41.396809,27,0.5,26.5,8609,6367,0,73.96,0.0,empty_problem,2
255,Irlanda,2.185852,41.431183,24,4.6,19.4,8583,6278,250,73.14,2.91,empty_problem,2
266,Concepció Arenal,2.184238,41.426841,27,1.8,25.2,8582,6238,0,72.69,0.0,empty_problem,2
219,Carre Laforja,2.147358,41.397698,27,2.2,24.8,8607,6220,0,72.27,0.0,empty_problem,2
107,Travessera de Gracia,2.153154,41.398373,21,1.5,19.5,8701,6251,16,71.84,0.18,empty_problem,2
249,Açores,2.188997,41.425216,27,2.4,24.6,8587,6157,0,71.7,0.0,empty_problem,2
391,Sagrera,2.191204,41.422873,26,4.1,21.9,8571,6135,30,71.58,0.35,empty_problem,2
28,Sardenya,2.17064,41.405422,24,1.1,22.9,8770,6276,0,71.56,0.0,empty_problem,2
221,Gran de Gràcia,2.152519,41.402535,27,2.2,24.8,8605,6150,2,71.47,0.02,empty_problem,2
91,Comte Borrell,2.158403,41.380452,30,4.2,25.8,8713,6209,102,71.26,1.17,empty_problem,2
253,Onze de Setembre,2.191821,41.429977,27,5.4,21.6,8584,6025,303,70.19,3.53,empty_problem,2
274,Rambla Fabra i Puig,2.184898,41.430092,33,7.1,25.9,8579,6013,213,70.09,2.48,empty_problem,2
164,Independència,2.177895,41.411901,26,2.9,23.1,8654,6062,0,70.05,0.0,empty_problem,2
278,Travessera de Gràcia,2.171621,41.409815,23,2.7,20.3,8578,5944,10,69.29,0.12,empty_problem,2
73,Enric Granados,2.156183,41.392278,21,2.0,19.0,8728,6036,85,69.16,0.97,empty_problem,2
88,Londres,2.150764,41.393547,21,1.9,19.1,8715,6006,58,68.92,0.67,empty_problem,2
223,Carrer de Bonavista,2.159865,41.398311,36,2.6,33.4,8605,5788,0,67.26,0.0,empty_problem,2
366,Pau Casals,2.14358,41.393037,27,2.2,24.8,8571,5725,30,66.8,0.35,empty_problem,2
333,Passatge de Senillosa,2.125106,41.395632,27,2.2,24.8,8572,5715,0,66.67,0.0,empty_problem,2
327,Reus,2.13453,41.405,24,2.9,21.1,8573,5693,0,66.41,0.0,empty_problem,2
325,Alt de Gironella,2.130325,41.39493,24,2.5,21.5,8573,5692,0,66.39,0.0,empty_problem,2
60,Rambla Catalunya,2.16424,41.390349,27,3.7,23.3,8737,5799,111,66.37,1.27,empty_problem,2
226,Montmany,2.161096,41.403465,27,3.1,23.9,8602,5704,0,66.31,0.0,empty_problem,2
279,Mas Casanovas,2.174564,41.415951,26,3.6,22.4,8577,5675,10,66.17,0.12,empty_problem,2
20,Cartagena,2.175759,41.410166,20,3.2,16.8,8775,5771,180,65.77,2.05,empty_problem,2
101,Av. Diagonal,2.14321,41.39243,27,3.7,23.3,8708,5659,0,64.99,0.0,empty_problem,2
206,Avda. Diagonal,2.13284,41.389845,33,4.1,28.9,8618,5490,45,63.7,0.52,empty_problem,2
26,Dos Maig,2.181981,41.407035,18,3.8,14.2,8772,5565,610,63.44,6.95,empty_problem,2
19,Rosselló,2.170726,41.403282,30,5.1,24.9,8775,5551,113,63.26,1.29,empty_problem,2
22,Sardenya,2.17568,41.401684,21,2.7,18.3,8774,5544,128,63.19,1.46,empty_problem,2
332,Doctor Roux,2.128083,41.399833,27,4.8,22.2,8572,5371,0,62.66,0.0,empty_problem,2
108,Indústria,2.164961,41.402314,21,3.3,17.7,8701,5449,55,62.62,0.63,empty_problem,2
123,Girona,2.166978,41.398013,21,2.3,18.7,8686,5435,31,62.57,0.36,empty_problem,2
