station_id,streetName,mean_bikes_jan_2019,mean_bikes_aug_2018,times_empty,total_observations,pct_empty
1,Gran Via Corts Catalanes,11.0,17.0,878,11632,7.55
2,Roger de Flor/ Gran Vía,8.0,13.0,1236,11628,10.63
3,Nàpols,11.0,14.0,904,11627,7.78
4,Ribes,10.0,11.0,670,11627,5.76
5,Pg Lluís Companys,16.0,16.0,687,11625,5.91
6,Pg Lluís Companys,14.0,15.0,614,11624,5.28
7,Pg Lluís Companys,15.0,13.0,299,11621,2.57
8,Pg Lluís Companys,14.0,11.0,318,11620,2.74
9,Marquès de l'Argentera,11.0,11.0,1063,11618,9.15
11,Passeig Marítim,7.0,6.0,2205,11618,18.98
12,Pg Marítim Barceloneta,11.0,9.0,1842,11618,15.85
13,Avinguda Litoral,11.0,11.0,2572,11617,22.14
14,Avinguda del Marques Argentera,13.0,11.0,714,11617,6.15
15,Girona,8.0,7.0,1194,11616,10.28
16,Av. Meridiana,6.0,6.0,2052,11612,17.67
17,Av. Meridiana,6.0,7.0,1861,11610,16.03
18,Rosselló,5.0,11.0,5471,11609,47.13
19,Rosselló,5.0,14.0,5816,11608,50.1
20,Cartagena,3.0,9.0,6096,11608,52.52
21,Sant Antoni Maria Claret,7.0,7.0,2131,11608,18.36
22,Sardenya,3.0,7.0,5983,11607,51.55
23,Bruc,11.0,11.0,1256,11606,10.82
24,Marina,12.0,13.0,1165,11606,10.04
25,Bruc,6.0,6.0,1744,11605,15.03
26,Dos Maig,4.0,11.0,5729,11605,49.37
27,Provença,3.0,3.0,4366,11604,37.62
28,Sardenya,1.0,5.0,6979,11603,60.15
29,Provença,6.0,7.0,1647,11603,14.19
30,Diagonal,3.0,13.0,5032,11602,43.37
31,Plaça del Mar,10.0,9.0,689,11602,5.94
32,Plaça del Mar,11.0,11.0,1947,11599,16.79
33,Pontevedra,11.0,10.0,538,11599,4.64
34,Sant Pere Més Alt,10.0,11.0,295,11598,2.54
35,Sant Ramon de Penyafort,11.0,10.0,343,11598,2.96
36,Catedral,11.0,13.0,447,11597,3.85
37,Pl. Antonio López,8.0,9.0,1530,11597,13.19
38,Pl. Pau Vila,11.0,13.0,433,11597,3.73
39,Pl. Pau Vila,12.0,2.0,2391,11595,20.62
40,Doctor Aiguader,10.0,11.0,395,11595,3.41
41,Pl. Poeta Boscà/Atlàntida,13.0,11.0,714,11594,6.16
42,Ciutat de Granada,9.0,9.0,1735,11593,14.97
43,Av Meridiana,0.0,13.0,7020,9556,73.46
44,Av Meridiana,5.0,6.0,2254,11592,19.44
45,Marina,,9.0,180,2833,6.35
45,Sardenya,10.0,,549,8757,6.27
46,Ramon trias Fargas,12.0,11.0,932,11589,8.04
47,Ramon Trias Fargas,13.0,13.0,2052,11588,17.71
48,Meridiana,8.0,9.0,723,11586,6.24
49,Rosa Sensat en front,13.0,9.0,332,11584,2.87
50,Av. Paral.lel,12.0,16.0,2499,11583,21.57
51,Pl. Vicenç Martorell,11.0,12.0,152,11583,1.31
53,Pl. Carles Pi i Sunyer,11.0,12.0,252,11581,2.18
54,Sant Oleguer,14.0,14.0,352,11579,3.04
55,La Rambla,9.0,11.0,2359,11576,20.38
56,Portal de Santa Madrona,7.0,14.0,4152,11575,35.87
57,La Rambla,17.0,19.0,165,11574,1.43
58,Plaça dels Àngels,9.0,11.0,293,11574,2.53
59,Plaça dels Àngels,9.0,9.0,2455,11572,21.22
60,Rambla Catalunya,4.0,4.0,6909,11570,59.71
